Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2015-0148-AUS,2015,0148,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Australia,AUS,Australia and New Zealand,Oceania,"Dungog, Hunters Hill, Sydney districts (New South Wales province)",,Flood,Surge,,,,,135,Kph,,,,,2015,4,20,2015,4,28,7,,1000,,1000,,,730000,797125,1300000,1419538,91.5791170307852,2,,4996;5023;154637,"Dungog (A), Hunters Hill (A), Sydney (C) (Adm2). "
2015-0479-BHS,2015,0479,TC-2015-000142,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Joaquin',Bahamas (the),BHS,Caribbean,Americas,"Exuma, Long Island, Mayaguana, Rum Cay, San Salvador, Samana Cay, Crooked Isl., Ragged Islands (Administrative unit not available)",,Flood,Surge,Yes,,,,,Kph,,,,,2015,10,1,2015,10,4,33,,6710,,6710,,,61000,66609,90000,98276,91.5791170307852,1,561,,Administrative unit not available (Adm1). 
2015-0131-CHN,2015,0131,,Natural,Meteorological,Storm,Convective storm,Severe storm,,China,CHN,Eastern Asia,Asia,"Guizhou Sheng, Henan Sheng, Shanxi Sheng, Jiangxi Sheng, Chongqing Shi, Sichuan Sheng, Shaanxi Sheng provinces",,Flood,Lightening,,,,,,Kph,,,,,2015,3,24,2015,3,25,34,148,5000,,5148,,,,,225000,245689,91.5791170307852,1,900;905;909;914;920;923;924,,"Chongqing Shi, Guizhou Sheng, Henan Sheng, Jiangxi Sheng, Shaanxi Sheng, Shanxi Sheng, Sichuan Sheng (Adm1). "
2015-0090-AGO,2015,0090,,Natural,Hydrological,Flood,,,,Angola,AGO,Middle Africa,Africa,Luanda province,Torrential rain,"Slide (land, mud, snow, rock)",,,,,,102553,Km2,-8.81664,13.68,,,2015,3,9,2015,3,23,1,,2000,,2000,,,,,,,91.5791170307852,1,408,,Luanda (Adm1). 
2015-0023-ALB,2015,0023,FL-2015-00009,Natural,Hydrological,Flood,Riverine flood,,,Albania,ALB,Southern Europe,Europe,"Berat, Kucove, Skrapar provinces (Berat prefecture), Vlore, Delvine, Sarande provinces (Vlore prefecture), Fier, Lushnje, Mallakaster provinces (Fier prefecture) Elbasan, Gramsh, Librazhd, Peqin provinces (Elbasan prefecture) , Gjirokaster, Permet, Tepelene provinces (Gjirokaster prefecture)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Vjosa, Devoll, Osum, Serman rivers",2015,2,1,2015,2,2,,,42000,,42000,,,,,,,91.5791170307852,1,305;307;311;312;313;314;320;324;325;327;330;331;334;336;337;340,,"Berat, Delvine, Elbasan, Fier, Gjirokaster, Gramsh, Kucove, Librazhd, Lushnje, Mallakaster, Peqin, Permet, Sarande, Skrapar, Tepelene, Vlore (Adm1). "
2015-0253-BGD,2015,0253,FL-2015-000068,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Bandarban, Chittagong, Cox's Bazar districts (Chittagong province)",Excessive rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2015,6,23,2015,6,30,20,20651,1381250,,1401901,,,,,40000,43678,91.5791170307852,2,,5767;5770;5772,"Bandarban, Chittagong, Cox's Bazar (Adm2). "
2015-0293-BGD,2015,0293,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Barisal district (Barisal province), Chittagong district (Chittagong province), Khulna district (Khulna province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2015,7,25,2015,7,27,11,,10000,,10000,,,,,,,91.5791170307852,2,,5762;5770;5799,"Barisal, Chittagong, Khulna (Adm2). "
2015-0106-CHL,2015,0106,FL-2015-000027,Natural,Hydrological,Flood,Flash flood,,,Chile,CHL,South America,Americas,"Atacama, Antofagasta, Coquimbo provinces",,"Slide (land, mud, snow, rock)",,,,Yes,,154773,Km2,-22.3617,-68.89,,Copiapo river,2015,3,25,2015,4,8,178,,164140,29741,193881,,,500000,545976,1500000,1637928,91.5791170307852,1,883;885;888,,"Antofagasta, Atacama, Coquimbo (Adm1). "
2015-0185-CHN,2015,0185,FL-2015-000057,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Hukengzhen village (Anfu area, Ji'an district, Jiangxi Sheng province), Leishan Xian area (Qiandongnan Miao and Dong district, Guizhou Sheng province), Ganzhou Shi area (Ganzhou district, Jiangxi Sheng province), Guiyang district (Guizhou Sheng province), Fujian Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Guangdong Sheng, Jiangsu Sheng, Sichuan Sheng, Yunnan Sheng, Hubei Sheng, Anhui Sheng, Chongqing Shi, Zhejiang Sheng provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,27.0326,114.98,,,2015,5,13,2015,6,1,58,,82000,,82000,,,,,800000,873562,91.5791170307852,1;2,898;900;901;903;904;911;912;913;924;929;930,13063;13070;13163;13166,"Anhui Sheng, Chongqing Shi, Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hubei Sheng, Hunan Sheng, Jiangsu Sheng, Sichuan Sheng, Yunnan Sheng, Zhejiang Sheng (Adm1). Ganzhou, Guiyang, Ji'an, Qiandongnan Miao and Dong (Adm2). "
2015-0397-CHN,2015,0397,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Sichuan Sheng, Chongqing Shi, Guizhou Sheng, Yunnan Sheng provinces",Heavy monsoonal rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2015,8,16,2015,8,19,41,,77440,,77440,,,,,220000,240229,91.5791170307852,1,900;905;924;929,,"Chongqing Shi, Guizhou Sheng, Sichuan Sheng, Yunnan Sheng (Adm1). "
2015-0231-CIV,2015,0231,,Natural,Hydrological,Flood,Riverine flood,,,Côte d’Ivoire,CIV,Western Africa,Africa,"Attecoube, Adjame areas (Abidjan district, District autonome de Abidjan province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2015,6,7,2015,6,21,16,,,,,,,,,,,91.5791170307852,2,,14911,Abidjan (Adm2). 
2015-0086-COL,2015,0086,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,"Santafe de Bogota D.c. district (Cundinamarca province), Cali district (Valle del Cauca province); Bucaramanga, Betulia districts (Santander Province)",,"Slide (land, mud, snow, rock)",,,,,,6,Richter,6.7757,-72.9875,,,2015,3,10,2015,3,10,,1,40835,400,41236,,,,,,,91.5791170307852,2,,13914;14212;14214;14374,"Betulia, Bucaramanga, Cali, Santafe De Bogota D.c. (Adm2). "
2015-0237-CRI,2015,0237,FL-2015-000079,Natural,Hydrological,Flood,Riverine flood,,,Costa Rica,CRI,Central America,Americas,"Sarapiqui district (Heredia province); San Carlos district (Alajuela province); Turrialba district (Cartago province); Pococi, Talamanca districts (Limon province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,16754,Km2,10.1743,-83.83,,,2015,6,27,2015,7,9,,,9666,,9666,,,,,,,91.5791170307852,2,,14480;14492;14513;14517;14519,"Pococi, San Carlos, Sarapiqui, Talamanca, Turrialba (Adm2). "
2015-0114-ECU,2015,0114,,Natural,Hydrological,Flood,Riverine flood,,,Ecuador,ECU,South America,Americas,"Santo Domingo district (Santo Domino de los Tsachilas province), Santa Rosa district (El Oro province), Chillanes district (Bolivar province), Pichincha, Los Rios, Esmeraldas, Napo provinces",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2015,3,23,2015,3,23,12,,1185,,1185,,,,,,,91.5791170307852,1;2,1142;1147;1150;22006,15334;15382;15514,"Esmeraldas, Los Rios, Napo, Pichincha (Adm1). Chillanes, Santa Rosa, Santo Domingo (Adm2). "
2015-0227-GEO,2015,0227,FL-2015-000071,Natural,Hydrological,Flood,Flash flood,,,Georgia,GEO,Western Asia,Asia,"Vake and Saburtalo boroughs (Tbilissi district, Tbilisi province)",Landslide blocked river,"Slide (land, mud, snow, rock)",,,,,,13023,Km2,42.0683,44.54,,"Vere, Mtkvari rivers",2015,6,7,2015,6,15,40,,10320,,10320,,,,,23000,25115,91.5791170307852,2,,16525,Tbilissi (Adm2). 
2015-0435-CHL,2015,0435,,Natural,Geophysical,Earthquake,Tsunami,,,Chile,CHL,South America,Americas,"Araucania, Atacama, Biobio, Coquimbo, Libertador Gral. Bernardo O’Higgins, Maule, Metropolitana, Valparaiso provinces",,Tsunami/Tidal wave,,,,Yes,,8,Richter,-31.5729,-71.6744,19:54,,2015,9,16,2015,9,16,19,15,681484,,681499,,,350000,382183,800000,873562,91.5791170307852,1,884;885;887;888;889;892;893;149630,,"Araucania, Atacama, Biobio, Coquimbo, Libertador Gral. Bernardo O'Higgins, Maule, Metropolitana, Valparaiso (Adm1). "
2015-0162-CHN,2015,0162,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,China,CHN,Eastern Asia,Asia,"Yunnan Sheng, Sichuan Sheng, Guizhou Sheng, Guangxi Zhuangzu Zizhiqu provinces",,Hail,,,,,,,Kph,,,,,2015,4,6,2015,4,9,1,,25000,,25000,,,,,130000,141954,91.5791170307852,1,904;905;924;929,,"Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Sichuan Sheng, Yunnan Sheng (Adm1). "
2015-0346-BFA,2015,0346,,Natural,Hydrological,Flood,Riverine flood,,,Burkina Faso,BFA,Western Africa,Africa,"Ouagadougou, Kilwin areas (Kadiogo district, Centre province), Bobo-Dioulasso city (Houet district, Hauts-bassins province), Kenedougou, Tuy districts (Hauts-bassins province), Cascades province",Heavy rains,Storm,,,,,,,Km2,,,,,2015,8,4,2015,8,7,8,54,28871,,28925,,,,,31000,33851,91.5791170307852,1;2,40277,154450;154469;154470;154471,"Cascades (Adm1). Houet, Kadiogo, Kenedougou, Tuy (Adm2). "
2015-0285-BRA,2015,0285,FL-2015-000092,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Parana, Santa Catarina provinces, Rio Grande do Sul province ",,Storm,,,,Yes,,115,Km2,-25.5689,-50.75,,Uruguay river,2015,7,10,2015,7,21,3,,283140,,283140,,,,,,,91.5791170307852,1,680;685;688,,"Parana, Rio Grande Do Sul, Santa Catarina (Adm1). "
2015-0168-CUB,2015,0168,,Natural,Hydrological,Flood,Flash flood,,,Cuba,CUB,Caribbean,Americas,Havana,Torrential rains,Storm,,,,,,,Km2,,,,,2015,4,30,2015,4,30,3,,10089,,10089,,,,,,,91.5791170307852,1,1012,,Ciudad De La Habana (Adm1). 
2015-0132-CHN,2015,0132,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,China,CHN,Eastern Asia,Asia,"Xinjiang Uygur Zizhiqu, Xizang Zizhiqu provinces",,Cold wave,,,,,,,Kph,,,,,2015,3,29,2015,3,31,,,5000,,5000,,,,,108000,117931,91.5791170307852,1,927;928,,"Xinjiang Uygur Zizhiqu, Xizang Zizhiqu (Adm1). "
2015-9372-COL,2015,9372,,Natural,Climatological,Drought,Drought,,,Colombia,COL,South America,Americas,"Caldas, Tolima, Quindio, Huila, Boyaca, Valle Del Cauca, Santander, Narino, Caqueta, Risaralda, Guajira, Atlantico, Magdalena, Bolivar, Arauca, Casanare provinces",El Nino,Wildfire,,,,,,,Km2,,,,,2015,10,,2016,2,,,,,,,,,,,,,91.5791170307852,1,936;937;938;939;941;942;943;950;952;953;955;958;959;961;963;964,,"Arauca, Atlantico, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Guajira, Huila, Magdalena, Narino, Quindio, Risaralda, Santander, Tolima, Valle Del Cauca (Adm1). "
2015-0151-AFG,2015,0151,FF-2015-000060,Natural,Hydrological,Landslide,Landslide,,,Afghanistan,AFG,Southern Asia,Asia,"Geriy Bala village (Khwahan district, Badakhshan province), Abi Barik village (Argo district, Badakhshan province), Jawzjan, Faryab, Sar-e-Pul, Baghlan, Balkh provinces",Heavy rains and snow melt,Flood,,,,,,,,,,,,2015,4,27,2015,5,2,52,,,500,500,,,,,,,91.5791170307852,1;2,274;275;278;283;299,99999;100010,"Baghlan, Balkh, Faryab, Jawzjan, Sar-e-Pul (Adm1). Argo, Khwahan (Adm2). "
2015-0044-ARG,2015,0044,,Natural,Meteorological,Storm,Convective storm,Rain,,Argentina,ARG,South America,Americas,"Colon, Cruz del Eje, Punilla districts (Cordoba province)",,Flood,,,,,,,Kph,,,,,2015,2,15,2015,2,24,8,,4500,,4500,,,,,17200,18782,91.5791170307852,2,,4570;4571;4580,"Colon, Cruz del Eje, Punilla (Adm2). "
2015-0309-BGD,2015,0309,TC-2015-000101,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Komen',Bangladesh,BGD,Southern Asia,Asia,"Cox's Bazar, Chittagong, Noakhali, Feni, Bandarban districts (Chittagong province), Patuakhali, Bhola, Barguna districts (Barisla province)",,Flood,,,,,,,Kph,,,,,2015,7,29,2015,7,30,45,,2600000,,2600000,,,,,40000,43678,91.5791170307852,2,,5761;5763;5765;5767;5770;5772;5773;5776,"Bandarban, Barguna, Bhola, Chittagong, Cox's Bazar, Feni, Noakhali, Patuakhali (Adm2). "
2015-0352-CAF,2015,0352,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Central African Republic,CAF,Middle Africa,Africa,Berbérati district (Mambéré-Kadéï province),,Flood,,,,,,,Kph,,,,,2015,4,24,2015,4,24,1,7,1109,,1116,,,,,,,91.5791170307852,2,,12859,Berbérati (Adm2). 
2015-0105-CHN,2015,0105,TC-2015-000028,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon' Maysak',China,CHN,Eastern Asia,Asia,"Hunan Sheng, Jiangxi Sheng provinces",,Flood,,,,,,,Kph,,,,,2015,4,4,2015,4,15,6,,12000,,12000,,,,,209000,228218,91.5791170307852,1,912;914,,"Hunan Sheng, Jiangxi Sheng (Adm1). "
2015-0252-CHN,2015,0252,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Kujira,China,CHN,Eastern Asia,Asia,Hainan Sheng province,,Flood,,,,,,,Kph,,,,,2015,6,22,2015,6,22,,,193000,,193000,,,,,11000,12011,91.5791170307852,1,906,,Hainan Sheng (Adm1). 
2015-0339-CHN,2015,0339,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Soudelor' (Hanna),China,CHN,Eastern Asia,Asia,"Zheijiang Sheng, Fujian Sheng, Jiangxi Sheng, Anhui Sheng provinces",,Flood,,,,,,230,Kph,,,,,2015,8,9,2015,8,9,18,,1580000,,1580000,,,,,1282690,1400636,91.5791170307852,1,898;901;914;930,,"Anhui Sheng, Fujian Sheng, Jiangxi Sheng, Zhejiang Sheng (Adm1). "
2015-0171-COL,2015,0171,FL-2015-000056,Natural,Hydrological,Landslide,Landslide,,,Colombia,COL,South America,Americas,"Salgar city (Antioquia), Amazonas province",Heavy rains,Flood,,,,,,,,5.70693,-74.5,,Liboriana river,2015,5,17,2015,5,18,93,48,,300,348,,,,,,,91.5791170307852,1;2,934,13428,Amazonas (Adm1). Salgar (Adm2). 
2015-0606-EGY,2015,0606,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Egypt,EGY,Northern Africa,Africa,"Behera, Kafr El-Shikh, North Sinai, Matrouh, Menoufia, Alexandria provinces",,Flood,,,,,,,Kph,,,,,2015,11,3,2015,11,4,25,35,100,,135,,,,,,,91.5791170307852,1,61510;61513;61522;61525;61527;61529,,"Alexandria, Behera, Kafr El-Shikh, Matrouh, Menoufia, North Sinai (Adm1). "
2015-0525-GBR,2015,0525,,Natural,Meteorological,Storm,Convective storm,,Storm Desmond (Ted),United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"Lancashire, Cumbria district (England province); Kendal, Keswick, Appleby cities (Cumbria district) Hexham (Northumberland district) (England province)",,Flood,,,,,,,Kph,,,,,2015,12,4,2015,12,6,3,,15600,,15600,,,884000,965286,1200000,1310342,91.5791170307852,2,,40102;40118;40125,"Cumbria, Lancashire, Northumberland (Adm2). "
2015-9575-GMB,2015,9575,OT-2015-000021,Natural,Climatological,Drought,Drought,,,Gambia (the),GMB,Western Africa,Africa,"NO DATA: all country selected: Central River, North Bank (mainly?), Kanifing Municipal Council, Lower River, Upper River, West Coast provinces",,Food shortage,,,,,,,Km2,,,,,2015,1,,2015,12,,,,63100,,63100,,,,,,,91.5791170307852,1,1285;1287;1288;1289;1290;112869,,"Central River, Kanifing Municipal Council, Lower River, North Bank, Upper River, West Coast (Adm1). "
2015-9545-ETH,2015,9545,DR-2015-000109,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,"Somali, Afar, Oromia, Amhara, Nations du Sud provinces",El Nino,Famine,,,,,,,Km2,,,,,2015,9,,2017,4,,,,10200000,,10200000,,,,,1400000,1528733,91.5791170307852,1,1228;47679,,"Afar, Somali (Adm1). "
2015-0334-CHN,2015,0334,,Natural,Meteorological,Storm,Convective storm,Severe storm,,China,CHN,Eastern Asia,Asia,"Gansu Sheng, Hebei Sheng, Henan Sheng, Nei Mongol Zizhiqu, Hubei Sheng, Shaanxi Sheng provinces",,Lightening,,,,,,,Kph,,,,,2015,7,13,2015,7,14,6,,110000,,110000,,,,,85000,92816,91.5791170307852,1,902;907;909;911;917;920,,"Gansu Sheng, Hebei Sheng, Henan Sheng, Hubei Sheng, Nei Mongol Zizhiqu, Shaanxi Sheng (Adm1). "
2015-0476-AFG,2015,0476,EQ-2015-000147,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Badakhshan, Baghlan, Ghazni, Kapisa, Khost, Kunar, Nangarhar, Paktya, Panjsher, Parwan, Takhar, Kunduz, Nuristan, Laghman, Kabul provinces",,,,,,,,8,Richter,36.5244,70.3676,13:39,,2015,10,26,2015,10,26,115,58080,,34645,92725,,,,,,,91.5791170307852,1,272;274;279;284;286;287;288;289;290;292;294;296;300;99879;99880,,"Badakhshan, Baghlan, Ghazni, Kabul, Kapisa, Khost, Kunar, Kunduz, Laghman, Nangarhar, Nuristan, Paktya, Panjsher, Parwan, Takhar (Adm1). "
2015-0571-AFG,2015,0571,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Ashkasham town (Eshkmesh district, Badakhshan province)",,,,,,,,6,Richter,36.4935,71.1263,23:45,,2015,12,25,2015,12,25,,12,,395,407,,,,,,,91.5791170307852,2,,3448,Eshkmesh (Adm2). 
2015-0581-AFG,2015,0581,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,Faryab province,,,,,,,,,Km2,,,,,2015,5,9,2015,5,9,7,10,,3000,3010,,,,,,,91.5791170307852,1,278,,Faryab (Adm1). 
2015-0058-AFG,2015,0058,,Natural,Hydrological,Landslide,Avalanche,,,Afghanistan,AFG,Southern Asia,Asia,Raghestan district (Badakhshan province),Heavy snowfall,,,,,,,,,,,,,2015,2,21,2015,2,21,12,,50,,50,,,,,,,91.5791170307852,2,,99998,Raghestan (Adm2). 
2015-0059-AFG,2015,0059,,Natural,Hydrological,Landslide,Avalanche,,,Afghanistan,AFG,Southern Asia,Asia,Yamgan district ,Hevay snowfall,,,,,,,,,,,,,2015,2,15,2015,2,15,6,,100,,100,,,,,,,91.5791170307852,2,,100016,Yamgan (Adm2). 
2015-0075-AGO,2015,0075,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Bengo, Cabinda, Cuanza Sul, Kuanza Norte, Luanda, Lunda Norte, Lunda Sul, Malanje, Uige, Zaire provinces",,,,,,,,,Km2,,,,,2015,2,13,2015,2,14,5,,,2000,2000,,,,,,,91.5791170307852,1,398;401;403;407;408;409;410;411;414;415,,"Bengo, Cabinda, Cuanza Sul, Kuanza Norte, Luanda, Lunda Norte, Lunda Sul, Malanje, Uige, Zaire (Adm1). "
2015-0091-AGO,2015,0091,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Belas city (Viana district, Luanda province), Cacuaco district (Luanda province), Lobito district (Benguela province)",Torrential rain,,,,,,,12133,Km2,-12.1145,13.88,,,2015,3,9,2015,3,23,69,,1000,,1000,,,,,,,91.5791170307852,2,,4222;4298;4300,"Cacuaco, Lobito, Viana (Adm2). "
2015-0038-ALB,2015,0038,,Natural,Hydrological,Flood,Riverine flood,,,Albania,ALB,Southern Europe,Europe,"Fier, Vlore, Kukes provinces",,,,,,,,,Km2,,,,,2015,1,31,2015,2,2,,,,,,,,,,,,91.5791170307852,1,312;321;340,,"Fier, Kukes, Vlore (Adm1). "
