Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2015-0248-CHN,2015,0248,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Hunan Sheng, Guizhou Sheng, Hubei Sheng, Gansu Sheng, Zhejiang Sheng, Anhui Sheng, Fujian Sheng, Jiangxi Sheng, Chongqing Shi, Sichuan Sheng provinces",,Storm,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2015,6,7,2015,6,11,16,,60000,,60000,,,,,2000000,2183904,91.5791170307852,1,898;900;901;902;905;911;912;914;924;930,,"Anhui Sheng, Chongqing Shi, Fujian Sheng, Gansu Sheng, Guizhou Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Sichuan Sheng, Zhejiang Sheng (Adm1). "
2015-0457-CHN,2015,0457,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hainan Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng provinces",,Storm,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2015,9,15,2015,9,23,14,,15000,,15000,,,,,,,91.5791170307852,1,900;903;904;905;906;911;912;914;924;929,,"Chongqing Shi, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hainan Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Sichuan Sheng, Yunnan Sheng (Adm1). "
2015-0375-DMA,2015,0375,TC-2015-000119,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Erika,Dominica,DMA,Caribbean,Americas,"Petite Savanne, Pichelin villages (St. Patrick province), Good Hope, Petite Soufriere villages (St. David province), Bath Estate village (St. George province), Dubique village (St. Andrew province), Campbell village (St. Paul province), Coulibistrie village (St. Joseph province)",,Flood,"Slide (land, mud, snow, rock)",Yes,,Yes,,,Kph,,,,,2015,8,27,2015,8,27,30,20,28000,574,28594,,,,,482810,527205,91.5791170307852,1,1098;1099;1100;1102;1105;1106,,"St. Andrew, St. David, St. George, St. Joseph, St. Patrick, St. Paul (Adm1). "
2015-0214-CHN,2015,0214,,Natural,Meteorological,Storm,Convective storm,Severe storm,,China,CHN,Eastern Asia,Asia,"Yunnan Sheng, Sichuan Sheng, Guizhou Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Guangdong Sheng, Jiangxi Sheng, Anhui Sheng, Hubei Sheng, Shandong Sheng provinces",,Lightening,Hail,,,,,,Kph,,,,,2015,5,7,2015,5,12,7,,76200,3600,79800,,,,,461000,503390,91.5791170307852,1,898;903;904;905;911;912;914;921;924;929,,"Anhui Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Shandong Sheng, Sichuan Sheng, Yunnan Sheng (Adm1). "
2015-0251-CHN,2015,0251,,Natural,Meteorological,Storm,Convective storm,Severe storm,,China,CHN,Eastern Asia,Asia,"Gansu Sheng, Heilongjiang Sheng, Nei Mongol Zizhiqu, Ningxia Huizu Zizhiqu, Qinghai Sheng, Shaanxi Sheng provinces",,Lightening,Hail,,,,,,Kph,,,,,2015,6,21,2015,6,23,,,300,,300,,,,,145000,158333,91.5791170307852,1,902;908;917;918;919;920,,"Gansu Sheng, Heilongjiang Sheng, Nei Mongol Zizhiqu, Ningxia Huizu Zizhiqu, Qinghai Sheng, Shaanxi Sheng (Adm1). "
2015-0118-BGD,2015,0118,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Bangladesh,BGD,Southern Asia,Asia,"Bogra, Rajshahi, Naogaon, Sirajganj, Pabna districts (Rajshahi province), Brahamanbaria district (Chittagong province), Dhaka districts (Dhaka province)",,Hail,Rain,,,,,,Kph,,,,,2015,4,1,2015,4,7,53,200,20000,,20200,,,,,4000,4368,91.5791170307852,2,,5768;5778;5805;5811;5815;5817;5819,"Bogra, Brahamanbaria, Dhaka, Naogaon, Pabna, Rajshahi, Sirajganj (Adm2). "
2015-0054-AFG,2015,0054,AV-2015-000016,Natural,Hydrological,Landslide,Avalanche,,,Afghanistan,AFG,Southern Asia,Asia,"Laghman, Nangarhar, Panjsher, Badakhshan, Bamyan provinces",Heavy snow,"Slide (land, mud, snow, rock)",Flood,,,,,,,,,,,2015,2,15,2015,2,27,254,,26425,6560,32985,,,,,3000,3276,91.5791170307852,1,272;276;290;292;99879,,"Badakhshan, Bamyan, Laghman, Nangarhar, Panjsher (Adm1). "
2015-0338-CHL,2015,0338,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Chile,CHL,South America,Americas,"Valparaiso, Antofagasta, Libertador Gral. Bernardo O'higgins, Coquimbo provinces",,"Slide (land, mud, snow, rock)",Flood,,,,,,Kph,,,,,2015,8,8,2015,8,9,6,4,934,,938,,,,,,,91.5791170307852,1,883;888;889;149630,,"Antofagasta, Coquimbo, Libertador Gral. Bernardo O'Higgins, Valparaiso (Adm1). "
2015-0163-CHN,2015,0163,,Natural,Meteorological,Storm,Convective storm,Severe storm,,China,CHN,Eastern Asia,Asia,"Guizhou Sheng, Shanxi Sheng, Shaanxi Sheng, Gansu Sheng provinces",,Hail,Flood,,,,,,Kph,,,,,2015,4,19,2015,4,21,2,,10000,,10000,,,,,250000,272988,91.5791170307852,1,902;905;920;923,,"Gansu Sheng, Guizhou Sheng, Shaanxi Sheng, Shanxi Sheng (Adm1). "
2015-0605-EGY,2015,0605,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Egypt,EGY,Northern Africa,Africa,Alexandria province,,Hail,Flood,,,,,,Kph,,,,,2015,10,24,2015,10,25,6,,,,,,,,,100000,109195,91.5791170307852,1,61510,,Alexandria (Adm1). 
